CollectingEvent,Chakra,Tree,Dist,Ht,Diam,Trt,Branch,Date,Fruit (y/n) ,Size (if Y for Fruit),Notes
2506,CC2,10,137,144,2.5,O,A2A-B,10/30/2016,N,,
2506,CC2,10,99,174,7,O,A2-3,10/30/2016,N,,
2506,CC2,10,16,137,9,H,B,10/30/2016,N,,
2506,CC2,10,60,173,7.5,O,B1,10/30/2016,N,,
2506,CC2,10,129,185,4,O,B1,10/30/2016,N,,
2506,CC2,10,142,180,4,H,B1A-B,10/30/2016,N,,
2506,CC2,10,222,178,1.25,O,B1C3-4,10/30/2016,N,,
2506,CC2,10,266,142,0.5,O,A2M,10/30/2016,N,,
2506,CC2,3,89,145,6.5,O,A1,10/30/2016,N,,
2506,CC2,3,138,144,4,H,A1A,10/30/2016,N,,
2506,CC2,3,274,92,1,O,A2D2-3,10/30/2016,N,,
2506,CC2,11,137,152,1.5,O,A5,10/30/2016,N,,
2506,CC2,11,217,148,1,H,A8,10/30/2016,N,,
2506,CC2,11,230,148,0.75,O,A8B-C,10/30/2016,N,,
2506,CC2,11,239,142,0.75,O,A8B-C,10/30/2016,N,,
2506,CC2,11,251,138,0.5,H,A8B-C,10/30/2016,Y,0.8,
2506,CC2,11,255,138,0.5,O,A8B-C,10/30/2016,N,,
2506,CC2,11,312,155,0.75,O,C1J4-5,10/30/2016,N,,
2506,CC2,11,266,88,0.75,H,B4C10,10/30/2016,N,,
2506,CC2,11,262,156,0.75,O,C2B3 ,10/30/2016,N,,
2506,CC2,5,42,96,5.5,O,B,10/30/2016,N,,
2506,CC2,5,132,162,0.5,H,B2B1,10/30/2016,N,,
2506,CC2,5,143,163,0.5,O,B2B1,10/30/2016,N,,
2506,CC2,5,280,202,0.75,O,B3K-L,10/30/2016,N,,
2506,CC2,5,48,117,4,H,A1,10/30/2016,N,,
2506,CC2,5,60,128,5,O,A1-2,10/30/2016,N,,
2506,CC2,5,100,145,2,O,A2A-B,10/30/2016,N,,
2506,CC2,5,111,150,2,H,A2A-B,10/30/2016,N,,
2506,CC2,5,182,178,1,O,A2E,10/30/2016,N,,
2506,CC2,5,120,133,2,O,A3,10/30/2016,N,,
2506,CC2,5,226,173,0.75,H,A3F,10/30/2016,N,,
2506,CC2,5,82,140,3,O,B2,10/30/2016,N,,
2506,CC2,7,121,88,1.75,O,A1A,10/30/2016,N,,
2506,CC2,7,170,84,0.75,H,A1A1B,10/30/2016,N,,
2506,CC2,7,154,76,1.5,O,A1C-D,10/30/2016,N,,
2506,CC2,7,160,75,1,O,A1E,10/30/2016,N,,
2506,CC2,7,185,80,0.75,H,A1E4-5,10/30/2016,N,,
2506,CC2,7,170,69,0.75,O,A1E-F,10/30/2016,N,,
2506,CC2,7,174,68,0.75,O,A1E-F,10/30/2016,N,,
2506,CC2,7,174,68,0.75,O,A1E-F,10/30/2016,N,,
2506,CC2,7,184,66,0.5,H,A1H-I,10/30/2016,Y,0.65,
2506,CC2,7,106,115,2.5,O,A2A-B,10/30/2016,N,,
2506,CC2,7,133,129,2.5,H,A2A-B,10/30/2016,N,,
2506,CC2,7,141,135,2,O,A2A-B,10/30/2016,N,,
2506,CC2,7,100,82,2.5,O,B1H-I,10/30/2016,N,,
2506,CC2,7,130,68,2,H,B1J-K,10/30/2016,N,,
2506,CC2,7,69,103,3.5,O,B1-2,10/30/2016,N,,
2506,CC2,8,25,122,5,O,A,10/30/2016,N,,
2506,CC2,8,47,124,4.5,H,A,10/30/2016,Y,0.5,
2506,CC2,8,50,126,4.5,O,A,10/30/2016,N,,
2506,CC2,8,83,140,3.5,O,A1-2,10/30/2016,N,,
2506,CC2,8,101,141,3.5,H,A1-2,10/30/2016,N,,
2506,CC2,8,148,148,3,O,A3-4,10/30/2016,N,,
2506,CC2,8,26,122,7,O,B,10/30/2016,N,,
2506,CC2,8,83,132,4.5,H,B,10/30/2016,N,,
2506,CC2,8,168,176,2.5,O,B3-4,10/30/2016,N,,
2506,CC2,8,45,145,6,O,C1,10/30/2016,N,,
2506,CC2,8,182,188,2,H,C1D1-2,10/30/2016,N,,
2506,CC2,8,214,196,0.75,O,C1C3-4,10/30/2016,Y,0.6,
2507,CC1,9,-,39,13,O,MT,10/30/2016,N,,
2507,CC1,9,-,66,12.5,H,MT,10/30/2016,N,,
2507,CC1,9,-,82,13,O,MT,10/30/2016,N,,
2507,CC1,9,-,82,13,O,MT,10/30/2016,N,,
2507,CC1,9,13,102,10,H,A,10/30/2016,N,,
2507,CC1,9,93,181,10,O,A,10/30/2016,N,,
2507,CC1,9,107,193,10,O,A,10/30/2016,N,,
2507,CC1,10,110,140,4.5,O,A1,10/30/2016,N,,
2507,CC1,10,116,140,4.5,H,A1,10/30/2016,Y,0.7,
2507,CC1,10,157,156,3,O,A3,10/30/2016,N,,
2507,CC1,10,171,153,2,O,A3B-C,10/30/2016,N,,
2507,CC1,10,160,192,3,H,B1B,10/30/2016,N,,
2507,CC1,3,-,34,15,O,MT,10/30/2016,N,,
2507,CC1,3,-,34,15,O,MT,10/30/2016,N,,
2507,CC1,3,-,45,13,H,MT,10/30/2016,N,,
2507,CC1,3,-,45,13,H,MT,10/30/2016,N,,
2507,CC1,3,-,48,12.5,O,MT,10/30/2016,N,,
2507,CC1,3,-,55,12.5,O,MT,10/30/2016,N,,
2507,CC1,3,-,55,12.5,O,MT,10/30/2016,N,,
2507,CC1,3,-,62,13,H,MT,10/30/2016,N,,
2507,CC1,3,-,60,13,O,MT,10/30/2016,N,,
2507,CC1,3,-,71,13,O,MT,10/30/2016,N,,
2507,CC1,3,24,142,8,H,A,10/30/2016,N,,
2507,CC1,3,24,142,8,H,A,10/30/2016,N,,
2507,CC1,3,33,153,8,O,A,10/30/2016,N,,
2507,CC1,3,38,155,8,O,A,10/30/2016,N,,
2507,CC1,3,38,155,8,O,A,10/30/2016,N,,
2507,CC1,6,30,177,5,O,A1,10/30/2016,N,,
2507,CC1,6,44,186,6.5,H,A2-3,10/30/2016,N,,
2507,CC1,6,47,188,6,O,A2-3,10/30/2016,N,,
2507,CC1,6,203,155,1.5,O,A4D,10/30/2016,N,,
2507,CC1,6,20,180,4.5,H,B,10/30/2016,N,,
2507,CC1,6,2,177,10.5,O,C,10/30/2016,N,,
2507,CC1,6,78,190,4.5,O,C2,10/30/2016,N,,
2507,CC1,6,94,183,4,H,C2A-B,10/30/2016,N,,
2507,CC1,6,171,193,2.5,O,C1A4,10/30/2016,N,,
2507,CC1,11,101,178,5,O,B2A,10/30/2016,N,,
2507,CC1,11,101,178,5,O,B2A,10/30/2016,N,,
2507,CC1,11,116,185,7,H,B3-4,10/30/2016,Y,0.7,
2507,CC1,12,47,154,6.5,O,A1-2,10/30/2016,N,,
2507,CC1,12,121,141,3,H,B2C-D,10/30/2016,N,,
2507,CC1,12,80,162,3.5,O,B3,10/30/2016,Y,0.6,
2507,CC1,7,88,175,8.5,O,A1-2,10/30/2016,N,,
2507,CC1,7,91,147,3.5,H,B1,10/30/2016,N,,
2507,CC1,7,177,202,1.25,O,B4B1,10/30/2016,N,,
